Age,Age_Group,Attrition,Attrition_Flag,Department,JobRole,JobLevel,BusinessTravel,Gender,MaritalStatus,EducationField,Education,MonthlyIncome,Income_Band,PercentSalaryHike,StockOptionLevel,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,DistanceFromHome,YearsAtCompany,Tenure_Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,PerformanceRating,TrainingTimesLastYear
41,3. Age 35-44,Yes,1,Sales,Sales Executive,2,Travel_Rarely,Female,Single,Life Sciences,2,5993,2. $3K-$6K,11,0,4,4 - Very High,2,1,3,1,Yes,1,6,4. 5-10 Years,4,0,5,8,8,3,0
49,4. Age 45-54,No,0,Research & Development,Research Scientist,2,Travel_Frequently,Male,Married,Life Sciences,1,5130,2. $3K-$6K,23,1,2,2 - Medium,3,4,2,3,No,8,10,4. 5-10 Years,7,1,7,10,1,4,3
37,3. Age 35-44,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Other,2,2090,1. Under $3K,15,0,3,3 - High,4,2,2,3,Yes,2,0,1. 0-1 Years,0,0,0,7,6,3,3
33,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Frequently,Female,Married,Life Sciences,4,2909,1. Under $3K,11,0,3,3 - High,4,3,3,3,Yes,3,8,4. 5-10 Years,7,3,0,8,1,3,3
27,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Medical,1,3468,2. $3K-$6K,12,1,2,2 - Medium,1,4,3,3,No,2,2,2. 1-3 Years,2,2,2,6,9,3,3
32,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Frequently,Male,Single,Life Sciences,2,3068,2. $3K-$6K,13,0,4,4 - Very High,4,3,3,2,No,2,7,4. 5-10 Years,7,3,6,8,0,3,2
59,5. Age 55+,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Medical,3,2670,1. Under $3K,20,3,1,1 - Low,3,1,4,2,Yes,3,1,1. 0-1 Years,0,0,0,12,4,4,3
30,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Divorced,Life Sciences,1,2693,1. Under $3K,22,1,3,3 - High,4,2,3,3,No,24,1,1. 0-1 Years,0,0,0,1,1,4,2
38,3. Age 35-44,No,0,Research & Development,Manufacturing Director,3,Travel_Frequently,Male,Single,Life Sciences,3,9526,3. $6K-$10K,21,0,3,3 - High,4,2,2,3,No,23,9,4. 5-10 Years,7,1,8,10,0,4,2
36,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Married,Medical,3,5237,2. $3K-$6K,13,2,3,3 - High,3,2,3,2,No,27,7,4. 5-10 Years,7,7,7,17,6,3,3
35,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Medical,3,2426,1. Under $3K,13,1,2,2 - Medium,1,3,4,3,No,16,5,3. 3-5 Years,4,0,3,6,0,3,5
29,2. Age 25-34,No,0,Research & Development,Laboratory Technician,2,Travel_Rarely,Female,Single,Life Sciences,2,4193,2. $3K-$6K,12,0,3,3 - High,4,4,2,3,Yes,15,9,4. 5-10 Years,5,0,8,10,0,3,3
31,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Divorced,Life Sciences,1,2911,1. Under $3K,17,1,3,3 - High,1,4,3,2,No,26,5,3. 3-5 Years,2,4,3,5,1,3,1
34,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Divorced,Medical,2,2661,1. Under $3K,11,1,4,4 - Very High,2,3,3,3,No,19,2,2. 1-3 Years,2,1,2,3,0,3,2
28,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Life Sciences,3,2028,1. Under $3K,14,0,3,3 - High,3,2,2,3,Yes,24,4,3. 3-5 Years,2,0,3,6,5,3,4
29,2. Age 25-34,No,0,Research & Development,Manufacturing Director,3,Travel_Rarely,Female,Divorced,Life Sciences,4,9980,3. $6K-$10K,11,1,1,1 - Low,2,3,4,3,No,21,10,4. 5-10 Years,9,8,8,10,1,3,1
32,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Divorced,Life Sciences,2,3298,2. $3K-$6K,12,2,2,2 - Medium,1,4,4,2,Yes,5,6,4. 5-10 Years,2,0,5,7,0,3,5
22,1. Under 25,No,0,Research & Development,Laboratory Technician,1,Non-Travel,Male,Divorced,Medical,2,2935,1. Under $3K,13,2,4,4 - Very High,4,2,4,2,Yes,16,1,1. 0-1 Years,0,0,0,1,1,3,2
53,4. Age 45-54,No,0,Sales,Manager,4,Travel_Rarely,Female,Married,Life Sciences,4,15427,4. Above $10K,16,0,4,4 - Very High,1,3,2,3,No,2,25,5. 10+ Years,8,3,7,31,2,3,3
38,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Life Sciences,3,3944,2. $3K-$6K,11,0,4,4 - Very High,4,3,3,3,Yes,2,3,2. 1-3 Years,2,1,2,6,5,3,3
24,1. Under 25,No,0,Research & Development,Manufacturing Director,2,Non-Travel,Female,Divorced,Other,2,4011,2. $3K-$6K,18,1,3,3 - High,1,4,4,2,No,11,4,3. 3-5 Years,2,1,3,5,0,3,5
36,3. Age 35-44,Yes,1,Sales,Sales Representative,1,Travel_Rarely,Male,Single,Life Sciences,4,3407,2. $3K-$6K,23,0,1,1 - Low,3,2,2,3,No,9,5,3. 3-5 Years,3,0,3,10,7,4,4
34,2. Age 25-34,No,0,Research & Development,Research Director,3,Travel_Rarely,Female,Single,Life Sciences,4,11994,4. Above $10K,11,0,2,2 - Medium,1,3,3,3,No,7,12,5. 10+ Years,6,2,11,13,0,3,4
21,1. Under 25,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Life Sciences,2,1232,1. Under $3K,14,0,4,4 - Very High,3,4,3,3,No,15,0,1. 0-1 Years,0,0,0,0,1,3,6
34,2. Age 25-34,Yes,1,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Medical,1,2960,1. Under $3K,11,0,1,1 - Low,2,3,3,3,No,6,4,3. 3-5 Years,2,1,3,8,2,3,2
53,4. Age 45-54,No,0,Research & Development,Manager,5,Travel_Rarely,Female,Divorced,Other,3,19094,4. Above $10K,11,1,3,3 - High,3,4,3,2,No,5,14,5. 10+ Years,13,4,8,26,4,3,3
32,2. Age 25-34,Yes,1,Research & Development,Research Scientist,1,Travel_Frequently,Female,Single,Life Sciences,1,3919,2. $3K-$6K,22,0,1,1 - Low,2,2,1,3,Yes,16,10,4. 5-10 Years,2,6,7,10,1,4,5
42,3. Age 35-44,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Married,Marketing,4,6825,3. $6K-$10K,11,1,2,2 - Medium,3,4,3,3,No,8,9,4. 5-10 Years,7,4,2,10,0,3,2
44,3. Age 35-44,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Female,Married,Medical,4,10248,4. Above $10K,14,1,4,4 - Very High,1,4,2,3,No,7,22,5. 10+ Years,6,5,17,24,3,3,4
46,4. Age 45-54,No,0,Sales,Manager,5,Travel_Rarely,Female,Single,Marketing,4,18947,4. Above $10K,12,0,1,1 - Low,2,4,3,2,No,2,2,2. 1-3 Years,2,2,1,22,3,3,2
33,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Medical,3,2496,1. Under $3K,11,0,4,4 - Very High,3,4,3,3,No,2,1,1. 0-1 Years,1,0,0,7,4,3,3
44,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Married,Other,4,6465,3. $6K-$10K,13,0,4,4 - Very High,4,4,3,4,Yes,10,4,3. 3-5 Years,2,1,3,9,2,3,5
30,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Medical,2,2206,1. Under $3K,13,0,3,3 - High,4,1,2,3,No,9,10,4. 5-10 Years,0,1,8,10,1,3,5
39,3. Age 35-44,Yes,1,Sales,Sales Representative,2,Travel_Rarely,Male,Married,Technical Degree,3,2086,1. Under $3K,14,1,4,4 - Very High,4,3,3,4,No,5,1,1. 0-1 Years,0,0,0,19,3,3,6
